address,bstory_cnt,old,lat,lon,in_flood_area,flood_point_count,height(m),ground_nof,struc,1f_flo,flood_risk_score,flood_risk_level,cluster
서울특별시 강남구 역삼동 663-21번지,0,24,37.5055655,127.0386527,1,2784,10.2,4,6,2.805,23.319926261102733,2,0.0
서울특별시 강남구 역삼동 663-22번지,1,30,37.5054606,127.0387112,1,2790,10.1,3,6,3.7033333333333336,23.37020278196749,2,1.0
서울특별시 강남구 역삼동 663-23번지,1,28,37.5056306,127.038828,1,2753,9.2,3,6,3.373333333333333,23.06016423663483,2,1.0
서울특별시 강남구 역삼동 663-24번지,0,25,37.5055163,127.0388814,1,2763,12.0,5,6,2.64,23.143958438076087,2,1.0
서울특별시 강남구 역삼동 663-25번지,1,28,37.5056118,127.0390209,1,2722,14.0,4,4,3.850000000000001,22.80040221216692,2,1.0
서울특별시 강남구 역삼동 663-26번지,0,21,37.5056575,127.0391735,1,2693,14.1,5,6,3.102,22.557399027987262,2,0.0
서울특별시 강남구 역삼동 663-27번지,1,34,37.5057019,127.039326,1,2662,9.6,3,6,3.52,22.29763700351936,2,1.0
서울특별시 강남구 역삼동 663-28번지,1,34,37.505748,127.0394786,1,2646,10.2,3,6,3.74,22.163566281213345,2,1.0
서울특별시 강남구 역삼동 625-8번지,1,39,37.5038701,127.0318522,1,4665,0.0,2,2,0.0,39.081615552203786,2,4.0
서울특별시 강남구 역삼동 625-9번지,1,24,37.503087,127.0318931,1,5004,9.25,2,6,5.0875,41.922238981062506,3,1.0
서울특별시 강남구 역삼동 625-10번지,2,14,37.5031451,127.0320848,1,5000,8.55,2,6,4.702500000000001,41.88872130048601,3,0.0
서울특별시 강남구 역삼동 625-11번지,1,35,37.50319460000001,127.032251,1,4994,8.95,2,2,4.9225,41.838444779621256,3,4.0
서울특별시 강남구 역삼동 625-12번지,1,36,37.50355,127.0323135,1,4856,9.14,2,6,5.027000000000001,40.68208479973186,3,1.0
서울특별시 강남구 역삼동 625-15번지,1,14,37.5032468,127.0324259,1,4987,11.73,2,6,6.451500000000001,41.77978883861237,3,0.0
서울특별시 강남구 역삼동 625-16번지,1,35,37.5032237,127.0323484,1,4989,8.95,2,2,4.9225,41.79654767890062,3,4.0
서울특별시 강남구 역삼동 625-20번지,3,1,37.5034083,127.0318656,1,4891,10.4,2,6,5.720000000000001,40.975364504776266,3,0.0
서울특별시 강남구 역삼동 625-32번지,1,14,37.5032759,127.0325233,1,4988,11.75,2,6,6.4625,41.7881682587565,3,0.0
서울특별시 강남구 역삼동 626번지,1,45,37.5046077,127.0321242,1,4544,0.0,2,2,0.0,38.067705714764536,2,4.0
서울특별시 강남구 역삼동 638-10번지,1,25,37.502201,127.0334057,1,5225,11.75,4,6,3.23125,43.77409083291436,3,1.0
서울특별시 강남구 역삼동 638-11번지,1,30,37.5021467,127.033227,1,5263,0.0,3,6,0.0,44.09250879839115,3,2.0
서울특별시 강남구 역삼동 638-12번지,1,2,37.5021087,127.0330625,1,5245,16.95,5,6,3.729,43.94167923579688,3,0.0
서울특별시 강남구 역삼동 781-18번지,0,7,37.4950388,127.0424553,1,3430,18.6,6,6,3.4100000000000006,28.733031674208146,2,0.0
서울특별시 강남구 역삼동 781-20번지,1,34,37.4950967,127.042643,1,3360,12.65,4,6,3.47875,28.14647226411932,2,1.0
서울특별시 강남구 역삼동 781-21번지,1,29,37.4951478,127.0427929,1,3312,10.75,3,6,3.9416666666666673,27.744260097201277,2,1.0
서울특별시 강남구 역삼동 791-11번지,0,21,37.4944307,127.0379459,1,4347,13.3,5,6,2.9260000000000006,36.41695994637171,2,0.0
서울특별시 강남구 역삼동 791-12번지,1,29,37.4943289,127.0380507,1,4325,11.4,4,6,3.135,36.23261270320094,2,1.0
서울특별시 강남구 역삼동 791-13번지,1,29,37.494369,127.0382089,1,4314,9.7,3,6,3.556666666666666,36.140439081615554,2,1.0
서울특별시 강남구 역삼동 791-14번지,1,30,37.4943975,127.0383667,1,4301,9.1,3,6,3.336666666666667,36.03150661974192,2,1.0
서울특별시 강남구 역삼동 791-15번지,2,7,37.4944278,127.0386818,1,4267,27.46,8,6,3.77575,35.74660633484163,2,0.0
서울특별시 강남구 역삼동 791-16번지,1,29,37.4942493,127.0384522,1,4273,10.2,3,6,3.74,35.796882855706386,2,1.0
서울특별시 강남구 역삼동 791-17번지,1,29,37.4942316,127.0383242,1,4284,10.2,3,6,3.74,35.88905647729177,2,1.0
서울특별시 강남구 역삼동 791-18번지,1,29,37.494198,127.0381913,1,4290,10.2,3,6,3.74,35.93933299815652,2,1.0
