대지위치,세대수,가구수,노후화
서울특별시 강남구 개포동 1201-7,8,0,4
서울특별시 강남구 역삼동 792-46,16,0,7
서울특별시 강남구 역삼동 765-7,0,0,7
서울특별시 강남구 자곡동 602,0,0,11
서울특별시 강남구 역삼동 796-29,68,0,13
서울특별시 강남구 세곡동 515,0,0,13
서울특별시 강남구 역삼동 823-50,0,0,2
서울특별시 강남구 논현동 22,100,0,28
서울특별시 강남구 일원동 711,168,0,33
서울특별시 강남구 도곡동 527,98,0,19
서울특별시 강남구 역삼동 757,0,0,20
서울특별시 강남구 삼성동 89,9,0,41
서울특별시 강남구 도곡동 527,0,0,19
서울특별시 강남구 역삼동 755-4,0,0,20
서울특별시 강남구 논현동 107-7,0,0,2
서울특별시 강남구 논현동 177-21,6,0,35
서울특별시 강남구 삼성동 11,73,0,18
서울특별시 강남구 삼성동 7-3,0,0,18
서울특별시 강남구 삼성동 154-8,0,0,32
서울특별시 강남구 일원동 667-2,6,0,39
서울특별시 강남구 대치동 918-9,9,0,24
서울특별시 강남구 대치동 950-3,11,0,21
서울특별시 강남구 일원동 711,60,0,33
서울특별시 강남구 수서동 736,179,0,33
서울특별시 강남구 수서동 746,269,0,32
서울특별시 강남구 개포동 1213-7,8,0,34
서울특별시 강남구 대치동 1014-3,140,0,25
서울특별시 강남구 대치동 902,72,0,21
서울특별시 강남구 삼성동 14-1,55,0,21
서울특별시 강남구 대치동 900-15,14,0,23
서울특별시 강남구 역삼동 777-18,12,0,24
서울특별시 강남구 역삼동 728-59,8,0,23
서울특별시 강남구 개포동 186-18,0,0,42
서울특별시 강남구 역삼동 693-33,0,9,29
서울특별시 강남구 역삼동 753-1,0,1,38
서울특별시 강남구 역삼동 725-52,0,0,19
서울특별시 강남구 삼성동 62-16,0,1,41
서울특별시 강남구 논현동 153-6,10,0,23
서울특별시 강남구 역삼동 777-13,14,0,25
서울특별시 강남구 일원동 680-8,6,0,38
서울특별시 강남구 역삼동 640-15,11,0,24
서울특별시 강남구 논현동 222-8,8,0,17
서울특별시 강남구 도곡동 527-3,138,0,19
서울특별시 강남구 삼성동 96-14,3,0,39
서울특별시 강남구 논현동 245,0,0,21
서울특별시 강남구 수서동 723,177,0,33
서울특별시 강남구 일원동 735,30,0,32
서울특별시 강남구 역삼동 756-3,0,9,28
서울특별시 강남구 역삼동 730-14,0,0,36
서울특별시 강남구 신사동 570,0,0,42
서울특별시 강남구 도곡동 425-7,0,0,33
서울특별시 강남구 청담동 84-5,0,0,0
서울특별시 강남구 삼성동 100-7,5,0,37
서울특별시 강남구 신사동 508-10,0,0,22
서울특별시 강남구 대치동 909-9,7,0,23
서울특별시 강남구 대치동 929-8,19,0,23
서울특별시 강남구 일원동 620-8,6,0,39
서울특별시 강남구 일원동 668-1,2,0,39
서울특별시 강남구 신사동 567-14,6,0,22
서울특별시 강남구 역삼동 830-5,9,0,23
서울특별시 강남구 논현동 25-6,0,1,41
서울특별시 강남구 논현동 29-9,0,0,2
서울특별시 강남구 역삼동 902,0,0,3
서울특별시 강남구 대치동 927-24,12,0,3
서울특별시 강남구 삼성동 6,198,0,26
서울특별시 강남구 논현동 158-30,15,0,23
