대지위치,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률(%),구조,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),노후화,위도,경도
서울특별시 강남구 논현동 51-6번지,1117.7,534.2,47.79,7469.87,252.7,7,0,0,32.1,7,6,2,0,0,0.0,7469.87,17,37.5117467,127.0224703
서울특별시 강남구 논현동 51-8번지,496.3,276.25,55.66,2139.07,299.84,7,0,0,18.1,6,2,1,0,0,0.0,2139.07,21,37.5121203,127.022292
서울특별시 강남구 논현동 51-9번지,365.7,179.95,49.21,1287.94,277.88,7,0,0,14.4,6,1,0,0,0,0.0,1287.94,34,37.5122593,127.022223
서울특별시 강남구 논현동 51-11번지,203.7,101.71,49.93,517.8,208.04,7,0,0,15.55,5,1,1,0,0,0.0,517.8,16,37.5119969,127.0224246
서울특별시 강남구 논현동 52번지,752.4,367.22,48.81,3083.48,248.3413,7,0,0,35.03,8,2,1,0,0,0.0,3083.48,8,37.5122817,127.022587
서울특별시 강남구 논현동 52-1번지,331.7,165.15,49.79,880.88,220.95,7,0,1,0.0,6,1,1,0,0,0.0,880.88,17,37.512086,127.0226794
서울특별시 강남구 논현동 52-2번지,438.0,206.8,47.21,855.95,178.53,2,0,0,11.9,4,1,0,0,0,0.0,855.95,29,37.5119473,127.0227462
서울특별시 강남구 논현동 52-3번지,289.4,144.62,49.97,1093.66,236.27,7,0,0,23.5,6,2,1,0,0,0.0,1093.66,5,37.5117772,127.0227791
서울특별시 강남구 논현동 67-17번지,194.2,116.37,59.92,591.39,239.69,7,6,0,12.0,4,1,0,0,0,0.0,591.39,34,37.5187764,127.0311946
서울특별시 강남구 논현동 67-18번지,189.7,112.37,59.24,511.85,194.71,7,0,0,12.7,4,1,1,0,0,0.0,511.85,30,37.5186661,127.0312476
서울특별시 강남구 논현동 67-19번지,192.9,115.51,59.88,398.72,154.0,7,0,6,8.8,3,1,0,0,0,0.0,398.72,28,37.5186159,127.0310962
서울특별시 강남구 논현동 67-20번지,194.0,115.4,59.48,294.21,151.65,7,0,0,11.85,4,0,0,0,0,0.0,294.21,23,37.51856739999999,127.030942
서울특별시 강남구 논현동 67-21번지,190.9,114.1,59.77,487.57,198.53,7,0,4,16.58,5,1,1,0,0,0.0,487.57,6,37.5185188,127.0307885
서울특별시 강남구 논현동 262번지,0.0,128.56,0.0,586.67,0.0,7,0,1,0.0,4,1,0,0,0,0.0,586.67,36,37.5120216,127.0368745
서울특별시 강남구 논현동 262-1번지,261.4,153.15,58.59,729.02,222.31,7,8,0,13.06,4,1,0,0,0,0.0,729.02,22,37.5120546,127.0370049
서울특별시 강남구 논현동 262-2번지,265.1,155.1,58.51,579.0,167.71,7,0,15,10.2,3,1,0,0,0,0.0,579.0,30,37.5120941,127.0371332
서울특별시 강남구 논현동 262-3번지,504.03,286.06,56.75,1455.58,216.71,7,12,0,10.5,4,1,0,0,0,0.0,1455.58,23,37.512138,127.0373391
서울특별시 강남구 논현동 262-6번지,261.9,156.65,59.81,682.65,203.72,7,0,2,15.35,5,1,0,0,0,0.0,682.65,22,37.5118279,127.037037
서울특별시 강남구 논현동 262-7번지,243.7,137.46,56.41,490.59,201.31,7,4,0,13.75,5,0,0,1,0,0.0,490.59,22,37.5118646,127.0371717
서울특별시 강남구 논현동 262-8번지,250.8,139.3,55.54,507.82,202.48,7,4,0,13.59,5,0,0,0,0,0.0,507.82,22,37.5119039,127.0373004
