lon,lat,geometry,in_gangnam
127.02391104647722,37.50787794097168,POINT (127.02391104647722 37.50787794097168),True
127.0239491416431,37.507893097166665,POINT (127.0239491416431 37.507893097166665),True
127.02395820130836,37.50790090433895,POINT (127.02395820130836 37.50790090433895),True
127.02403613057125,37.507968056620136,POINT (127.02403613057125 37.507968056620136),True
127.02406236225988,37.50799280188372,POINT (127.02406236225988 37.50799280188372),True
127.02408458390136,37.50801213201876,POINT (127.02408458390136 37.50801213201876),True
127.02410075065652,37.50802619611054,POINT (127.02410075065652 37.50802619611054),True
127.02410323280264,37.50802835531277,POINT (127.02410323280264 37.50802835531277),True
127.02412123345746,37.50804401470713,POINT (127.02412123345746 37.50804401470713),True
127.02413751335976,37.50805817698023,POINT (127.02413751335976 37.50805817698023),True
127.0241755875028,37.50810241033511,POINT (127.0241755875028 37.50810241033511),True
127.02418210635985,37.50811540239193,POINT (127.02418210635985 37.50811540239193),True
127.02419861401845,37.5081483055109,POINT (127.02419861401845 37.5081483055109),True
127.02421192481684,37.50822483323453,POINT (127.02421192481684 37.50822483323453),True
127.02421429191442,37.50823844332854,POINT (127.02421429191442 37.50823844332854),True
127.02421756741911,37.50824215930204,POINT (127.02421756741911 37.50824215930204),True
127.02422230926472,37.5082475400317,POINT (127.02422230926472 37.5082475400317),True
127.02423902622728,37.5082665081605,POINT (127.02423902622728 37.5082665081605),True
127.02424856083968,37.50827732637076,POINT (127.02424856083968 37.50827732637076),True
127.02425618559022,37.50828597895676,POINT (127.02425618559022 37.50828597895676),True
127.02425623084768,37.50828603030474,POINT (127.02425623084768 37.50828603030474),True
127.02428884904886,37.50832304048485,POINT (127.02428884904886 37.50832304048485),True
127.02440202738492,37.50828600027603,POINT (127.02440202738492 37.50828600027603),True
127.02451521769784,37.50828592548166,POINT (127.02451521769784 37.50828592548166),True
127.02457868028208,37.50826133648569,POINT (127.02457868028208 37.50826133648569),True
127.02462839362832,37.50824207436063,POINT (127.02462839362832 37.50824207436063),True
127.02464011317149,37.50823835527159,POINT (127.02464011317149 37.50823835527159),True
127.02462838793568,37.50822474713763,POINT (127.02462838793568 37.50822474713763),True
127.02460391725354,37.50817672237161,POINT (127.02460391725354 37.50817672237161),True
127.02458939692532,37.50814822480953,POINT (127.02458939692532 37.50814822480953),True
127.0245151619097,37.50811533373989,POINT (127.0245151619097 37.50811533373989),True
127.02449479141347,37.50810234457463,POINT (127.02449479141347 37.50810234457463),True
127.02446830536684,37.50808545532168,POINT (127.02446830536684 37.50808545532168),True
127.02442543313362,37.50805811779567,POINT (127.02442543313362 37.50805811779567),True
127.02440390937385,37.5080288116548,POINT (127.02440390937385 37.5080288116548),True
127.02440194279424,37.508026134274566,POINT (127.02440194279424 37.508026134274566),True
127.02437956606664,37.5079927368421,POINT (127.02437956606664 37.5079927368421),True
127.02437656967948,37.50798826307026,POINT (127.02437656967948 37.50798826307026),True
127.02436298523544,37.50796798965888,POINT (127.02436298523544 37.50796798965888),True
127.02433630238215,37.507943864446254,POINT (127.02433630238215 37.507943864446254),True
127.0243050206193,37.50791558113528,POINT (127.0243050206193 37.50791558113528),True
127.0242887122524,37.50790083684162,POINT (127.0242887122524 37.50790083684162),True
