대지위치,지하층수,노후화,위도,경도,in_flood_area,flood_point_count,높이(m),지상층수,구조
서울특별시 강남구 역삼동 667-10번지,1,36,37.50420039999999,127.0360747,1,4041,15.5,4,7
서울특별시 강남구 역삼동 667-12번지,1,43,37.5039614,127.0358186,1,4180,13.8,4,7
서울특별시 강남구 역삼동 667-13번지,1,35,37.5040578,127.0361417,1,4092,20.75,6,7
서울특별시 강남구 역삼동 667-14번지,2,41,37.5039151,127.0362087,1,4161,14.65,4,7
서울특별시 강남구 역삼동 667-15번지,1,39,37.5038188,127.0358856,1,4243,16.5,5,7
서울특별시 강남구 역삼동 667-16번지,3,35,37.5036593,127.0359029,1,4367,20.8,5,7
서울특별시 강남구 역삼동 667-17번지,1,23,37.5037241,127.03612,1,4290,18.95,5,7
서울특별시 강남구 역삼동 667-18번지,1,37,37.5037879,127.0363296,1,4233,0.0,6,7
서울특별시 강남구 역삼동 677-22번지,2,40,37.5024756,127.0396221,1,3647,0.0,5,7
서울특별시 강남구 역삼동 677-23번지,7,5,37.5022763,127.039673,1,3677,89.54,19,6
서울특별시 강남구 역삼동 677-24번지,1,47,37.5023615,127.0399484,1,3581,0.0,4,7
서울특별시 강남구 역삼동 677-25번지,7,32,37.5023658,127.0407171,1,3203,84.15,21,6
서울특별시 강남구 역삼동 629-10번지,1,41,37.5030611,127.0337718,1,4814,0.0,2,2
서울특별시 강남구 역삼동 641-18번지,3,22,37.5027556,127.0352544,1,4798,19.3,6,7
서울특별시 강남구 역삼동 641-20번지,2,17,37.5022359,127.0359723,1,5044,27.3,7,7
서울특별시 강남구 역삼동 642번지,7,13,37.501255,127.0354559,1,5493,69.5,21,7
서울특별시 강남구 역삼동 642-1번지,6,24,37.5016367,127.0356339,1,5369,60.32,20,7
서울특별시 강남구 역삼동 642-2번지,1,22,37.5013964,127.0357924,1,5438,29.8,10,7
서울특별시 강남구 역삼동 642-3번지,1,14,37.5012886,127.0359271,1,5455,33.95,10,7
서울특별시 강남구 역삼동 642-4번지,1,32,37.50123689999999,127.0357543,1,5486,17.0,5,7
서울특별시 강남구 역삼동 642-5번지,1,35,37.5018798,127.0358901,1,5226,26.21,8,7
서울특별시 강남구 역삼동 642-6번지,6,32,37.5016945,127.0359771,1,5312,71.2,20,6
서울특별시 강남구 역삼동 642-9번지,6,26,37.5012723,127.0361804,1,5438,74.85,20,6
서울특별시 강남구 역삼동 642-10번지,4,24,37.5019265,127.0360849,1,5184,43.15,11,6
서울특별시 강남구 역삼동 642-16번지,6,31,37.5009488,127.0355183,1,5553,76.5,21,6
서울특별시 강남구 청담동 49번지,3,34,37.5232295,127.0481793,0,0,24.57,7,7
서울특별시 강남구 청담동 49-2번지,1,48,37.5234832,127.0483787,0,0,12.4,4,7
서울특별시 강남구 청담동 49-3번지,3,19,37.5237002,127.0486206,0,0,17.25,4,7
서울특별시 강남구 청담동 49-5번지,2,36,37.5239761,127.0488778,0,0,0.0,8,7
서울특별시 강남구 청담동 49-14번지,0,5,37.5234214,127.0487995,0,0,16.8,5,7
서울특별시 강남구 청담동 49-18번지,1,45,37.5233022,127.0486908,0,0,0.0,2,2
서울특별시 강남구 청담동 49-20번지,0,45,37.5232463,127.0485402,0,0,0.0,2,2
서울특별시 강남구 청담동 49-21번지,4,2,37.5231386,127.048442,0,0,28.5,7,7
서울특별시 강남구 청담동 49-24번지,1,14,37.5235766,127.048926,0,0,20.95,6,7
서울특별시 강남구 청담동 49-27번지,1,13,37.5237055,127.0490438,0,0,21.05,6,7
서울특별시 강남구 청담동 70-7번지,1,32,37.5208199,127.0550067,0,0,12.3,4,7
서울특별시 강남구 청담동 70-8번지,1,15,37.5207559,127.0548057,0,0,16.3,5,7
서울특별시 강남구 청담동 70-9번지,1,19,37.5207938,127.0545547,0,0,17.8,4,7
서울특별시 강남구 개포동 1282번지,0,5,37.4786358,127.0538806,0,0,43.95,14,7
서울특별시 강남구 개포동 1282번지,0,5,37.4786358,127.0538806,0,0,59.35,20,7
서울특별시 강남구 개포동 1282번지,0,5,37.4786358,127.0538806,0,0,46.85,15,7
서울특별시 강남구 개포동 1282번지,0,5,37.4786358,127.0538806,0,0,102.85,35,7
서울특별시 강남구 개포동 1282번지,0,5,37.4786358,127.0538806,0,0,64.25,21,7
서울특별시 강남구 청담동 13-40번지,2,9,37.5221633,127.045741,0,0,19.02,5,7
서울특별시 강남구 청담동 13-41번지,1,35,37.52226,127.0458515,0,0,7.9,2,2
서울특별시 강남구 청담동 13-42번지,1,42,37.5230511,127.045394,0,0,9.0,2,2
서울특별시 강남구 청담동 13-44번지,1,39,37.5214861,127.046314,0,0,0.0,2,2
서울특별시 강남구 청담동 13-46번지,1,43,37.521611,127.0459141,0,0,0.0,3,7
서울특별시 강남구 청담동 13-49번지,1,39,37.5224506,127.0454829,0,0,0.0,2,2
서울특별시 강남구 청담동 13-50번지,1,39,37.5224386,127.0455749,0,0,0.0,2,2
서울특별시 강남구 청담동 13-52번지,2,38,37.5227622,127.0455135,0,0,0.0,2,2
서울특별시 강남구 개포동 1209-10번지,1,33,37.4778509,127.0512996,0,0,0.0,3,7
서울특별시 강남구 개포동 1231-16번지,1,37,37.47765,127.0479289,0,0,0.0,5,7
서울특별시 강남구 개포동 1231-17번지,0,21,37.477758,127.0478169,0,0,16.96,5,7
서울특별시 강남구 개포동 1231-18번지,1,27,37.47792,127.0476489,0,0,8.3,2,0
서울특별시 강남구 개포동 1231-20번지,1,22,37.4780821,127.047481,0,0,14.25,5,7
서울특별시 강남구 개포동 1231-21번지,0,11,37.47819,127.047369,0,0,13.2,5,7
서울특별시 강남구 개포동 1231-22번지,1,35,37.4782979,127.047257,0,0,15.9,5,7
서울특별시 강남구 개포동 1231-23번지,1,35,37.4784181,127.0471351,0,0,16.65,5,7
서울특별시 강남구 개포동 1231-24번지,1,17,37.4785646,127.0470847,0,0,23.55,5,7
서울특별시 강남구 개포동 1232번지,1,36,37.4779337,127.0472578,0,0,15.1,5,7
서울특별시 강남구 개포동 1232-1번지,1,37,37.4778341,127.0473697,0,0,0.0,4,7
