ground_nof,bstory_cnt,totar,bottom_area,time_unit_rainqty,time_unit_ws,time_unit_wd,spt_frstt_dist,target,구조_기타,구조_벽돌구조,구조_블록구조,구조_일반목구조,구조_일반철골구조,구조_철골철근콘크리트구조,구조_철근콘크리트구조,target_log,target_boxcox
4,1,980.99,207.17,0.0,2.0,50.0,2.5,0.0569,False,False,False,False,False,False,True,0.055340095033164595,0.5553400950331646
7,1,2300.02,337.92,0.0,3.0,70.0,2.1,0.0671,False,False,False,False,False,False,True,0.06494468864038216,0.5649446886403822
22,0,46472.0,2373.0,0.0,2.0,90.0,2.0,0.0463,False,False,False,False,False,False,True,0.04526013140486457,0.5452601314048646
24,0,319830.74,12757.5,0.0,3.0,70.0,2.3,0.1131,False,False,False,False,False,False,True,0.10714891551704309,0.6071489155170431
20,5,17884.39,687.24,0.0,3.0,70.0,3.7,0.0806,False,False,False,False,False,False,True,0.07751644242782835,0.5775164424278283
3,1,330.03,81.2,0.0,3.0,70.0,3.5,0.278,False,False,False,False,False,False,True,0.24529635595534308,0.745296355955343
15,2,46103.44,37.53,0.0,3.0,70.0,2.5,0.0862,False,False,False,False,False,False,True,0.08268536661860784,0.5826853666186078
17,1,4343.94,36.77,0.0,3.0,70.0,1.5,0.0494,False,False,False,False,False,False,True,0.04821857227047433,0.5482185722704743
4,0,316.21,86.74,0.0,3.0,70.0,4.2,0.0886,False,False,False,False,False,False,True,0.0848924670179626,0.5848924670179626
2,1,4256.13,2299.82,0.0,4.0,70.0,1.9,0.0834,False,False,False,False,False,False,True,0.08010424424166145,0.5801042442416614
26,1,157864.43,84.89,0.0,5.0,70.0,2.7,0.0703,False,False,False,False,False,False,True,0.06793898300819287,0.5679389830081929
1,0,30.0,30.0,0.0,3.0,70.0,4.3,0.0589,False,False,True,False,False,False,False,0.057230633454271714,0.5572306334542717
12,3,7649.37,808.66,0.5,1.0,50.0,4.1,0.0358,False,False,False,False,False,False,True,0.03517407500765403,0.535174075007654
22,3,29306.46,1259.26,0.2,1.0,360.0,6.3,0.0742,False,False,False,False,False,False,True,0.07157619848922192,0.5715761984892219
2,0,105.58,52.79,0.7,1.0,250.0,0.4,0.0842,False,False,False,False,False,False,True,0.08084238784410075,0.5808423878441007
8,2,1094.44,38.28,0.0,1.0,250.0,8.0,0.0799,False,False,False,False,False,False,True,0.07686844425657699,0.576868444256577
3,1,3954.43,912.6,0.0,1.0,250.0,1.0,0.0516,False,False,False,False,False,False,True,0.050312813873589095,0.5503128138735891
18,0,7309.75,489.79,0.0,1.0,250.0,0.9,0.087,False,False,False,False,False,False,True,0.08342160813907239,0.5834216081390724
23,6,42541.69,1677.13,0.2,1.0,270.0,3.5,0.139,False,False,False,False,False,False,True,0.1301506844650451,0.6301506844650451
4,1,2914.58,519.62,0.1,2.0,290.0,1.7,0.0592,False,False,False,False,False,False,True,0.05751390620060671,0.5575139062006067
2,0,347.4,12.6,0.0,1.0,270.0,1.6,0.1026,False,False,False,False,False,False,True,0.09767102717344615,0.5976710271734461
2,1,144.87,79.0,0.0,1.0,270.0,3.3,0.0369,False,False,False,False,False,False,True,0.03623549258209543,0.5362354925820955
2,1,248.13,82.71,0.0,1.0,270.0,0.9,0.0778,False,True,False,False,False,False,False,0.07492192651725926,0.5749219265172593
2,1,2054.09,682.39,0.1,1.0,50.0,3.0,0.0621,False,False,False,False,False,False,True,0.060248080345356884,0.5602480803453569
9,1,1342.3,207.49,0.9,2.0,50.0,2.6,0.0399,False,False,False,False,False,False,True,0.03912455468405003,0.5391245546840501
5,1,814.99,63.18,0.0,3.0,70.0,0.9,0.038,False,False,False,False,False,False,True,0.037295784743696894,0.5372957847436969
19,4,49420.26,3248.86,0.0,4.0,50.0,3.3,0.0851,False,False,False,False,False,False,True,0.0816721486440249,0.5816721486440249
3,1,305.99,74.59,0.0,4.0,50.0,2.1,0.13,False,False,False,False,False,False,True,0.12221763272424921,0.6222176327242492
9,1,1400.35,200.18,0.0,4.0,50.0,2.5,0.0438,False,False,False,False,False,False,True,0.042867900227175806,0.5428679002271758
1,0,42.0,42.0,0.0,4.0,50.0,3.8,0.1144,False,False,True,False,False,False,False,0.10831614348345889,0.6083161434834589
3,1,1012.89,122.81,0.0,4.0,50.0,1.9,0.1275,False,False,False,False,False,False,True,0.12000279239469637,0.6200027923946964
3,1,250.44,57.48,0.0,3.0,270.0,2.4,0.0538,False,False,False,False,False,False,True,0.05240267879304836,0.5524026787930484
2,1,588.64,185.89,0.0,3.0,270.0,2.2,0.0798,False,False,False,False,False,False,True,0.07677583880204955,0.5767758388020495
2,1,224.66,84.53,0.5,2.0,270.0,4.8,0.0759,False,False,True,False,False,False,False,0.07315752061772642,0.5731575206177264
4,0,309.0,86.77,0.5,2.0,270.0,4.0,0.0601,False,False,False,False,False,False,True,0.05836324329691494,0.5583632432969149
4,1,1038.42,54.42,0.0,3.0,270.0,2.6,0.0316,False,False,False,False,False,False,True,0.031110995025052664,0.5311109950250527
4,1,399.23,92.78,0.0,3.0,290.0,4.3,0.0844,False,False,False,False,False,False,True,0.08102683864237341,0.5810268386423734
10,1,98147.68,10625.19,0.0,3.0,290.0,0.6,0.0863,False,False,False,False,False,True,False,0.08277742645756815,0.5827774264575681
14,1,3687.49,252.19,0.0,3.0,290.0,2.0,0.0,False,False,False,False,False,False,True,0.0,0.5
15,1,13876.16,10557.68,0.0,3.0,290.0,1.7,0.0859,False,False,False,False,False,False,True,0.08240913624071772,0.5824091362407178
4,1,390.46,141.5,0.0,3.0,270.0,3.4,0.0938,False,False,False,False,False,False,True,0.08965787193053529,0.5896578719305353
3,1,315.7,126.1,0.0,3.0,270.0,3.2,0.1027,False,False,False,False,False,False,True,0.09776171778249576,0.5977617177824958
5,0,482.77,136.0,0.0,4.0,320.0,4.0,0.0299,False,False,False,False,False,False,True,0.02946171014961901,0.529461710149619
15,0,12330.77,860.79,0.0,3.0,270.0,1.8,0.0905,False,False,False,False,False,False,True,0.08663630665954669,0.5866363066595467
